id;name;surname;country_name;job_name;power_name;age
1;afin que puisque;ouille;extra;également;détacher;16610
2;ouille;par suite de carrément;tic-tac circulaire;à l'exception de groin groin même si;dès que;2747
3;depuis à l'exception de;vétuste à bas de;sans que;pin-pon de crainte que population du Québec;sitôt que;13963
4;clientèle minuscule;commis de cuisine que;deçà;vivre concernant toutefois;concurrence;305
5;en dedans de rire à peine;ouah;pacifique spécialiste à bas de;plaisanter même si;aussitôt que émouvoir;5136
6;déplacer condamner;rectorat vouh quoique;ouf à partir de;loin de cadre;dessus parlementaire;15337
7;actionnaire;toujours restaurer;fumer;ôter communauté étudiante vers;pendant que conseil d’administration;21900
8;foule chez en faveur de;oh autour de patientèle;multiple;bang;hôte;12909
9;par suite de;ouf devant;admirablement rectorat;parce que du côté de rejeter;alors que;23016
10;efficace tic-tac;laisser sous couleur de;en decà de;épouser;dès que;32316
